               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1        Ремонт двигателя            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3          Покраска двери            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1          Покраска двери            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3        Ремонт двигателя            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
               Тип работы Стоимость работ            Время работы  ID
0   Расчет ремонтых работ             500   02.03.2021-02.03.2021  01
1          Покраска двери            5000   03.03.2021-07.03.2021  02
2  Установка сигнализации            3500  05.03.2021-05.03.2021   03
3        Ремонт двигателя            4700  15.03.2021-20.03.2021   04
4   Оформление документов            2000   02.03.2021-20.03.2021  05
